House Number,Street,First Name,Surname,Age,Relationship to Head of House,Marital Status,Gender,Occupation,Infirmity,Religion
154,Love Avenue,Irene,Roberts,10,Daughter,NA,Female,Student,None,NA
154,Love Avenue,Glen,Roberts,6,Son,NA,Male,Student,None,NA
155,Love Avenue,Denise,Barrett,50,Head,Married,Female,Financial planner,None,Catholic
155,Love Avenue,Shane,Barrett,58,Husband,Married,Male,Health physicist,None,Catholic
155,Love Avenue,Arthur,Barrett,13,Son,NA,Male,Student,None,NA
155,Love Avenue,Sam,Barrett,11,Son,NA,Male,Student,None,NA
155,Love Avenue,Leanne,Barrett,7,Daughter,NA,Female,Student,None,NA
155,Love Avenue,Graeme,Barrett,6,Son,NA,Male,Student,None,NA
155,Love Avenue,June,Barrett,4,Daughter,NA,Female,Child,None,NA
155,Love Avenue,Daniel,Barrett,1,Son,NA,Male,Child,None,NA
155,Love Avenue,Nicole,Barrett,1,Adopted Daughter,NA,Female,Child,None,NA
155,Love Avenue,Geoffrey,Wood,36,Lodger,Single,Male,Communications engineer,None,Catholic
155,Love Avenue,Adam,Preston,55,Lodger,Divorced,Male,Newspaper journalist,None,Christian
155,Love Avenue,Lewis,Smart,31,Lodger,Divorced,Male,Architectural technologist,None,Catholic
155,Love Avenue,Abigail,Hill,42,Lodger,Single,Female,Social worker,None,Muslim
155,Love Avenue,Ashleigh,Bailey,41,Lodger,Single,Female,Podiatrist,None,None
155,Love Avenue,Fiona,Matthews,60,Lodger,Divorced,Female,Veterinary surgeon,None,Catholic
156,Love Avenue,Charlie,Knight,47,Head,Single,Male,Radio broadcast assistant,None,Christian
156,Love Avenue,Joan,Dawson,43,None,Single,Female,Occupational psychologist,None,None
156,Love Avenue,Ruth,Dixon,22,None,Single,Female,University Student,None,Christian
156,Love Avenue,Christine,Wall,36,None,Single,Female,Aeronautical engineer,None,Christian
156,Love Avenue,Jeffrey,Taylor,46,None,Divorced,Male,Geographical information systems officer,None,None
157,Love Avenue,Sharon,Roberts,47,Head,Married,Female,Financial trader,None,None
157,Love Avenue,Danny,Roberts,49,Husband,Married,Male,"Production designer, theatre/television/film",None,None
157,Love Avenue,Joyce,Roberts,19,Daughter,Divorced,Female,University Student,None,None
157,Love Avenue,Maurice,Roberts,17,Son,NA,Male,Student,None,NA
157,Love Avenue,Lauren,Roberts,14,Daughter,NA,Female,Student,None,NA
158,Love Avenue,Rhys,Robinson,49,Head,Married,Male,Occupational hygienist,None,Catholic
158,Love Avenue,Dorothy,Robinson,47,Wife,Married,Female,Further education lecturer,None,None
158,Love Avenue,Joel,Robinson,15,Son,NA,Male,Student,None,NA
158,Love Avenue,Lesley,Robinson,13,Daughter,NA,Female,Student,None,NA
158,Love Avenue,Lindsey,Robinson,9,Daughter,NA,Female,Student,None,NA
158,Love Avenue,Terry,Robinson,6,Son,NA,Male,Student,None,NA
159,Love Avenue,Natalie,Stewart,30,Head,Single,Female,Unemployed,None,Catholic
159,Love Avenue,Rhys,Stewart,0,Son,NA,Male,Child,None,NA
159,Love Avenue,Ben,Bell,39,Lodger,Single,Male,Passenger transport manager,None,Christian
159,Love Avenue,Shannon,Sutton,36,Lodger,Single,Female,Architectural technologist,None,Catholic
159,Love Avenue,Holly,Wood,41,Lodger,Single,Female,Architectural technologist,None,None
160,Love Avenue,Raymond,Edwards,69,Head,Married,Male,Retired Fashion designer,None,Buddist
160,Love Avenue,Nicola,Edwards,67,Wife,Married,Female,Research scientist (maths),None,Buddist
160,Love Avenue,Hollie,Edwards,43,Daughter,Divorced,Female,"Development worker, international aid",None,Buddist
160,Love Avenue,Sarah,Edwards,42,Daughter,Widowed,Female,"Teacher, English as a foreign language",None,None
160,Love Avenue,Ashley,Edwards,39,Son,Widowed,Male,Energy engineer,None,Christian
161,Love Avenue,Lisa,Hughes,45,Head,Married,Female,Retail banker,None,Methodist
161,Love Avenue,George,Hughes-Bates,45,Husband,Married,Male,Pathologist,None,Methodist
161,Love Avenue,Mark,Hunt,15,Son,NA,Male,Student,None,NA
161,Love Avenue,Justin,Hunt,11,Son,NA,Male,Student,None,NA
161,Love Avenue,Michelle,Hunt,7,Daughter,NA,Female,Student,None,NA
162,Love Avenue,Sheila,Roberts,78,Head,Married,Female,Retired Water engineer,None,Catholic
162,Love Avenue,Douglas,Roberts,80,Husband,Married,Male,"Retired Civil engineer, contracting",None,Catholic
162,Love Avenue,Rebecca,Roberts,41,Daughter,Single,Female,Orthoptist,None,Catholic
162,Love Avenue,Lynda,Roberts,39,Daughter,Single,Female,Water engineer,None,Catholic
162,Love Avenue,Bruce,Roberts,34,Son,Divorced,Male,Senior tax professional/tax inspector,None,Catholic
162,Love Avenue,Ashley,Roberts,30,Son,Single,Male,Marketing executive,None,Catholic
162,Love Avenue,Michelle,Roberts,29,Daughter,Single,Female,Personal assistant,None,Catholic
162,Love Avenue,Leon,Roberts,27,Son,Single,Male,Unemployed,None,Catholic
162,Love Avenue,David,Roberts,22,Son,Single,Male,University Student,None,Catholic
162,Love Avenue,Abdul,Roberts,20,Son,Single,Male,University Student,None,Christian
162,Love Avenue,Edward,Roberts,16,Son,NA,Male,Student,None,NA
162,Love Avenue,Sian,Roberts,12,Daughter,NA,Female,Student,None,NA
163,Love Avenue,Jean,Smith,24,Head,Single,Female,Planning and development surveyor,None,Christian
163,Love Avenue,Gregory,Lees,50,None,Single,Male,Structural engineer,None,Catholic
163,Love Avenue,Roy,Bailey,56,None,Single,Male,Games developer,None,Methodist
163,Love Avenue,Cameron,Davis,50,None,Single,Male,Purchasing manager,None,Catholic
163,Love Avenue,Darren,Smith,47,None,Single,Male,Multimedia programmer,None,Christian
164,Love Avenue,Suzanne,Thompson,40,Head,Divorced,Female,Unemployed,None,Catholic
164,Love Avenue,Edward,Thompson,11,Son,NA,Male,Student,None,NA
164,Love Avenue,Chloe,Thompson,8,Daughter,NA,Female,Student,None,NA
164,Love Avenue,Rhys,Thompson,7,Son,NA,Male,Student,None,NA
164,Love Avenue,Bernard,Rogers,4,Son,NA,Male,Child,None,NA
164,Love Avenue,Colin,Rogers,2,Son,NA,Male,Child,None,NA
164,Love Avenue,Dean,Rogers,2,Son,NA,Male,Child,None,NA
164,Love Avenue,Elliott,Fleming,18,Sibling,Single,Male,Student,None,NA
164,Love Avenue,Hugh,Quinn,53,Cousin,Single,Male,Air broker,None,Christian
164,Love Avenue,Rhys,White,41,Lodger,Single,Male,Unemployed,None,Christian
164,Love Avenue,John,Saunders,56,Sibling,Single,Male,Energy manager,None,Christian
165,Love Avenue,Olivia,Bradley,65,Head,Married,Female,Police officer,None,None
165,Love Avenue,Gerard,Bradley-Brown,68,Husband,Married,Male,"Retired Engineer, manufacturing systems",None,None
165,Love Avenue,Dylan,Bradley-Brown,29,Son,Divorced,Male,Theatre director,None,None
165,Love Avenue,Brenda,Bradley-Brown,26,Daughter,Single,Female,Insurance risk surveyor,None,None
165,Love Avenue,Olivia,Bradley-Brown,17,Daughter,NA,Female,Student,None,NA
166,Love Avenue,Michelle,Craig,57,Head,Married,Female,Research scientist (life sciences),None,Catholic
166,Love Avenue,Mitchell,Craig,61,Husband,Married,Male,"Solicitor, Scotland",None,Catholic
166,Love Avenue,Barry,Craig,20,Son,Single,Male,University Student,None,Catholic
166,Love Avenue,Simon,Miller-Craig,20,Son,Single,Male,University Student,None,None
166,Love Avenue,Rachael,Miller-Craig,16,Daughter,NA,Female,Student,None,NA
167,Love Avenue,Bethan,Pollard,52,Head,Single,Female,"Editor, magazine features",None,Catholic
167,Love Avenue,Roger,Price,53,Partner,Single,Male,Accounting technician,None,Catholic
167,Love Avenue,Brandon,Pollard,24,Son,Single,Male,Meteorologist,None,None
167,Love Avenue,Lynn,Pollard,22,Daughter,Single,Female,University Student,None,Catholic
167,Love Avenue,Joyce,Pollard,11,Daughter,NA,Female,Student,None,NA
168,Love Avenue,Irene,Woods,66,Head,Married,Female,Production engineer,None,None
168,Love Avenue,Shane,Woods,68,Husband,Married,Male,Retired Higher education careers adviser,None,None
168,Love Avenue,Adam,Woods,45,Son,Single,Male,Actuary,None,None
168,Love Avenue,Debra,Woods,43,Daughter,Single,Female,Occupational psychologist,None,None
168,Love Avenue,Ross,Woods,40,Son,Single,Male,Data processing manager,None,None
169,Love Avenue,Gemma,Smith,55,Head,Married,Female,Oncologist,None,Christian
169,Love Avenue,Stuart,Smith,58,Husband,Married,Male,Advertising account planner,None,Christian
169,Love Avenue,Denise,Smith,25,Daughter,Single,Female,Advertising account planner,None,Christian
169,Love Avenue,Ross,Smith,18,Son,Divorced,Male,Student,None,Christian
169,Love Avenue,Keith,Stevenson,16,Son,NA,Male,Student,None,NA
169,Love Avenue,Leanne,Stevenson,12,Daughter,NA,Female,Student,None,NA
169,Love Avenue,Lynda,Stevenson,9,Daughter,NA,Female,Student,Blind,NA
169,Love Avenue,Margaret,Stevenson,5,Daughter,NA,Female,Student,None,NA
169,Love Avenue,Rita,Stevenson,3,Daughter,NA,Female,Child,None,NA
169,Love Avenue,Leon,Stevenson,1,Son,NA,Male,Child,None,NA
169,Love Avenue,Frank,Turner,28,Lodger,Single,Male,Fish farm manager,None,None
170,Love Avenue,Sally,Hardy,68,Head,Married,Female,"Retired Engineer, petroleum",None,Christian
170,Love Avenue,Geoffrey,Hardy,71,Husband,Married,Male,Retired Armed forces operational officer,None,None
170,Love Avenue,Gail,Bailey,42,None,Married,Female,Fashion designer,None,Christian
170,Love Avenue,Jeffrey,Bailey,44,None,Married,Male,"Scientist, water quality",None,Christian
170,Love Avenue,Joseph,Bailey,7,None,NA,Male,Student,None,NA
171,Love Avenue,Carly,Richards,34,Head,Single,Female,IT trainer,None,Catholic
171,Love Avenue,Jay,Richards,8,Son,NA,Male,Student,None,NA
171,Love Avenue,Edward,Richards,7,Son,NA,Male,Student,None,NA
171,Love Avenue,Marian,Richards,6,Daughter,NA,Female,Student,None,NA
171,Love Avenue,Joanna,Richards,6,Daughter,NA,Female,Student,None,NA
171,Love Avenue,Rachel,Richards,3,Daughter,NA,Female,Child,None,NA
171,Love Avenue,Gail,Richards,0,Daughter,NA,Female,Child,None,NA
171,Love Avenue,Derek,Rogers,61,Lodger,Divorced,Male,Insurance claims handler,None,Catholic
172,Love Avenue,Jennifer,Archer,32,Head,Married,Female,"Pharmacist, community",None,None
172,Love Avenue,Maurice,Archer,34,Husband,Married,Male,Minerals surveyor,None,None
172,Love Avenue,Bradley,Archer,12,Son,NA,Male,Student,None,NA
172,Love Avenue,Bethan,Archer,11,Daughter,NA,Female,Student,None,NA
172,Love Avenue,Chloe,Archer,10,Daughter,NA,Female,Student,None,NA
172,Love Avenue,Janet,Archer,6,Daughter,NA,Female,Student,None,NA
172,Love Avenue,Judith,Archer,6,Daughter,NA,Female,Student,None,NA
173,Love Avenue,Shirley,Knowles,57,Head,Married,Female,Dispensing optician,None,Christian
173,Love Avenue,Frederick,Knowles,56,Husband,Married,Male,Bookseller,None,Christian
173,Love Avenue,Roy,Knowles,27,Son,Single,Male,Town planner,None,None
173,Love Avenue,Tony,Knowles,25,Son,Single,Male,Ceramics designer,None,None
173,Love Avenue,Eric,Knowles,8,Son,NA,Male,Student,None,NA
174,Love Avenue,Lynne,Richardson,48,Head,Married,Female,"Designer, ceramics/pottery",None,None
174,Love Avenue,Jacob,Richardson,51,Husband,Married,Male,Product designer,None,None
174,Love Avenue,Bernard,Richardson,21,Son,Single,Male,University Student,None,None
174,Love Avenue,Alexander,Richardson,17,Son,NA,Male,Student,None,NA
174,Love Avenue,Jean,Richardson,13,Daughter,NA,Female,Student,None,NA
174,Love Avenue,Cheryl,Richardson,11,Daughter,NA,Female,Student,None,NA
175,Love Avenue,Melanie,Begum,25,Head,Single,Female,"Designer, textile",None,None
175,Love Avenue,Vincent,Schofield,26,Partner,Single,Male,Unemployed,None,None
175,Love Avenue,Angela,Begum,6,Daughter,NA,Female,Student,None,NA
175,Love Avenue,Leonard,Begum,2,Son,NA,Male,Child,None,NA
175,Love Avenue,Carolyn,Dean,37,Sibling,Single,Female,Field trials officer,None,Methodist
176,Love Avenue,Sheila,Alexander,33,Head,Married,Female,Community pharmacist,None,Methodist
176,Love Avenue,Guy,Alexander,38,Husband,Married,Male,Printmaker,None,Methodist
176,Love Avenue,Paula,Alexander,2,Daughter,NA,Female,Child,None,NA
176,Love Avenue,Ellie,Graham,46,Sibling,Single,Female,Unemployed,None,Christian
176,Love Avenue,Mathew,Parker,29,Lodger,Single,Male,"Psychotherapist, dance movement",None,Methodist
177,Love Avenue,Louis,Chandler,33,Head,Single,Male,Unemployed,None,None
177,Love Avenue,Brandon,Chandler,1,Son,NA,Male,Child,None,NA
177,Love Avenue,Gavin,Jones,26,Lodger,Single,Male,"Scientist, forensic",None,None
177,Love Avenue,Adam,Gould,31,Lodger,Divorced,Male,Illustrator,None,Catholic
177,Love Avenue,Valerie,Lloyd,47,Lodger,Single,Female,Oceanographer,None,Catholic
177,Love Avenue,Declan,Perkins,59,Lodger,Divorced,Male,Sports development officer,None,Christian
177,Love Avenue,Sean,Conway,22,Cousin,Single,Male,University Student,None,Methodist
177,Love Avenue,Georgia,Barber,27,Lodger,Single,Female,Armed forces operational officer,None,Catholic
177,Love Avenue,Elaine,Heath,63,Lodger,Single,Female,"Designer, interior/spatial",None,None
177,Love Avenue,Rebecca,Smith,30,Lodger,Single,Female,Water engineer,None,None
177,Love Avenue,Clifford,Reed,23,Lodger,Single,Male,Technical sales engineer,None,None
177,Love Avenue,Rhys,Wilson,55,Lodger,Divorced,Male,"Administrator, sports",None,Christian
177,Love Avenue,Mathew,Morrison,41,Visitor,Single,Male,"Engineer, land",None,Catholic
178,Love Avenue,Valerie,Nolan,88,Head,Married,Female,Retired Herpetologist,None,None
178,Love Avenue,Dominic,Nolan,93,Husband,Married,Male,Retired Facilities manager,None,None
178,Love Avenue,Stephen,Nolan,56,Son,Divorced,Male,"Pharmacist, hospital",None,None
178,Love Avenue,Elliot,Edwards-Nolan,56,Son,Single,Male,Consulting civil engineer,None,None
178,Love Avenue,Frances,Edwards-Nolan,52,Daughter,Single,Female,Web designer,None,None
178,Love Avenue,Robert,Edwards-Nolan,44,Son,Single,Male,Estate manager/land agent,None,None
178,Love Avenue,Victor,Edwards-Nolan,40,Son,Single,Male,Unemployed,None,None
178,Love Avenue,Alexander,Edwards-Nolan,39,Son,Single,Male,Fisheries officer,None,None
178,Love Avenue,Maureen,Edwards-Nolan,39,Daughter,Divorced,Female,Metallurgist,None,None
178,Love Avenue,Toby,Edwards-Nolan,35,Son,Single,Male,Community arts worker,None,None
178,Love Avenue,Douglas,Edwards-Nolan,31,Son,Single,Male,Unemployed,None,None
178,Love Avenue,Kyle,Edwards-Nolan,31,Son,Divorced,Male,"Administrator, Civil Service",None,None
178,Love Avenue,Heather,Edwards-Nolan,30,Daughter,Divorced,Female,Dietitian,None,None
178,Love Avenue,Denis,Edwards-Nolan,29,Son,Divorced,Male,Contractor,None,None
178,Love Avenue,Vanessa,Edwards-Nolan,25,Daughter,Divorced,Female,Nutritional therapist,None,None
178,Love Avenue,Ann,Edwards-Nolan,22,Daughter,Single,Female,University Student,None,None
178,Love Avenue,Gemma,Edwards-Nolan,22,Daughter,Divorced,Female,University Student,None,None
178,Love Avenue,Stanley,Edwards-Nolan,18,Son,Single,Male,Student,None,None
178,Love Avenue,Terry,Edwards-Nolan,17,Son,NA,Male,Student,None,NA
178,Love Avenue,Rebecca,Edwards-Nolan,16,Daughter,NA,Female,Student,None,NA
178,Love Avenue,Matthew,Edwards-Nolan,13,Son,NA,Male,Student,None,NA
179,Love Avenue,Graham,Curtis,28,Head,Single,Male,"Conservation officer, historic buildings",None,None
179,Love Avenue,Wendy,Jarvis,25,Partner,Single,Female,Legal secretary,None,None
180,Love Avenue,Lynne,Brown,42,Head,Married,Female,Financial planner,None,None
180,Love Avenue,Christopher,Brown,45,Husband,Married,Male,Unemployed,None,None
180,Love Avenue,Kathleen,Brown,3,Granddaughter,NA,Female,Child,None,NA
180,Love Avenue,Matthew,Brown,2,Grandson,NA,Male,Child,None,NA
180,Love Avenue,Toby,Hussain,25,Lodger,Single,Male,Magazine journalist,None,None
180,Love Avenue,Diana,Hewitt,43,Lodger,Divorced,Female,Outdoor activities/education manager,None,None
180,Love Avenue,Marcus,Kaur,25,Lodger,Single,Male,Product/process development scientist,None,Catholic
180,Love Avenue,Vincent,Taylor,62,Lodger,Single,Male,"Optician, dispensing",None,Christian
180,Love Avenue,Janice,Morris,53,Lodger,Divorced,Female,Diagnostic radiographer,None,None
180,Love Avenue,Lisa,Jones,62,Lodger,Divorced,Female,Drilling engineer,None,None
180,Love Avenue,Gregory,Oliver,33,Sibling,Single,Male,Health and safety inspector,None,None
180,Love Avenue,Stephen,Smith,59,Lodger,Single,Male,Photographer,None,Christian
181,Love Avenue,Pamela,Horton,39,Head,Married,Female,Unemployed,None,None
181,Love Avenue,Phillip,Horton,41,Husband,Married,Male,Building surveyor,None,None
181,Love Avenue,Declan,Horton,16,Son,NA,Male,Student,None,NA
181,Love Avenue,Angela,Horton,15,Daughter,NA,Female,Student,None,NA
181,Love Avenue,Stephanie,Horton,10,Daughter,NA,Female,Student,None,NA
182,Love Avenue,Mohammad,Ingram,41,Head,Divorced,Male,Hydrologist,None,Christian
183,Love Avenue,Stephanie,Thompson,62,Head,Married,Female,Administrator,None,Catholic
183,Love Avenue,Mark,Thompson,64,Husband,Married,Male,Forensic psychologist,None,Catholic
183,Love Avenue,Steven,Thompson,26,Son,Single,Male,Exercise physiologist,None,Catholic
183,Love Avenue,Lesley,Cook-Thompson,22,Daughter,Single,Female,University Student,None,Catholic
183,Love Avenue,Cameron,Cook-Thompson,21,Son,Single,Male,University Student,None,Catholic
183,Love Avenue,Anna,Cook-Thompson,21,Daughter,Single,Female,University Student,None,None
183,Love Avenue,Dawn,Cook-Thompson,19,Daughter,Single,Female,University Student,None,Catholic
183,Love Avenue,June,Cook-Thompson,17,Daughter,NA,Female,Student,None,NA
183,Love Avenue,Nicholas,Cook-Thompson,11,Son,NA,Male,Student,None,NA
183,Love Avenue,Lynne,Cook-Thompson,11,Daughter,NA,Female,Student,None,NA
183,Love Avenue,Tina,Cook-Thompson,7,Daughter,NA,Female,Student,None,NA
183,Love Avenue,Martin,Cook-Thompson,4,Son,NA,Male,Child,None,NA
184,Love Avenue,Reece,Thompson,40,Head,Single,Male,Unemployed,None,None
184,Love Avenue,Margaret,Thompson,12,Daughter,NA,Female,Student,None,NA
184,Love Avenue,Charlene,Thompson,8,Daughter,NA,Female,Student,None,NA
184,Love Avenue,Ricky,Thompson,4,Son,NA,Male,Child,None,NA
184,Love Avenue,Neil,Thompson,0,Son,NA,Male,Child,None,NA
185,Love Avenue,Stephanie,Shaw,40,Head,Married,Female,"Surveyor, planning and development",None,Methodist
185,Love Avenue,Adrian,Shaw,46,Husband,Married,Male,Best boy,None,Methodist
185,Love Avenue,Leanne,Shaw,15,Adopted Daughter,NA,Female,Student,None,NA
185,Love Avenue,Max,Shaw,15,Son,NA,Male,Student,None,NA
185,Love Avenue,Amber,Shaw,11,Daughter,NA,Female,Student,None,NA
186,Love Avenue,Heather,Morris,38,Head,Married,Female,"Teacher, primary school",None,None
186,Love Avenue,Marc,Morris,40,Husband,Married,Male,Office manager,None,None
186,Love Avenue,Carole,Morris,8,Daughter,NA,Female,Student,None,NA
186,Love Avenue,Chelsea,Morris,5,Daughter,NA,Female,Student,None,NA
186,Love Avenue,Jay,Morris,1,Son,NA,Male,Child,None,NA
187,Love Avenue,Jennifer,Ball,49,Head,Married,Female,Unemployed,None,Christian
187,Love Avenue,Owen,Ball,54,Husband,Married,Male,Public librarian,None,None
187,Love Avenue,Trevor,Ball,22,Son,Single,Male,University Student,None,None
187,Love Avenue,Mitchell,Ball,22,Son,Single,Male,University Student,None,Christian
187,Love Avenue,Hilary,Ball,2,Daughter,NA,Female,Child,None,NA
188,Love Avenue,Hayley,Shaw,83,Head,Married,Female,Retired Chiropractor,None,Methodist
188,Love Avenue,Elliot,Shaw,85,Husband,Married,Male,"Retired Pharmacist, community",None,Methodist
188,Love Avenue,Bernard,Shaw,31,Son,Single,Male,Educational psychologist,None,Methodist
188,Love Avenue,Kimberley,Shaw,26,Daughter,Single,Female,Occupational psychologist,None,Methodist
188,Love Avenue,Andrea,Shaw,23,Daughter,Single,Female,Volunteer coordinator,None,Methodist
188,Love Avenue,Catherine,Shaw,20,Daughter,Divorced,Female,University Student,None,Methodist
188,Love Avenue,Francesca,Shaw,19,Adopted Daughter,Single,Female,University Student,None,None
188,Love Avenue,Gordon,Shaw,12,Son,NA,Male,Student,None,NA
189,Love Avenue,Susan,O'Connor,79,Head,Married,Female,Retired Hospital doctor,None,None
189,Love Avenue,Alexander,O'Connor,87,Husband,Married,Male,Retired Chartered public finance accountant,None,None
189,Love Avenue,Nicola,O'Connor,43,Daughter,Single,Female,"Therapist, drama",None,None
189,Love Avenue,Reece,O'Connor,43,Son,Divorced,Male,Fitness centre manager,None,None
189,Love Avenue,Hilary,O'Connor,43,Daughter,Single,Female,Unemployed,None,None
189,Love Avenue,Ryan,O'Connor,39,Son,Single,Male,Physiological scientist,None,None
189,Love Avenue,Gavin,O'Connor,37,Son,Divorced,Male,"Psychologist, clinical",None,None
189,Love Avenue,Katie,O'Connor,37,Daughter,Single,Female,Health visitor,None,None
189,Love Avenue,Rachael,O'Connor,34,Daughter,Divorced,Female,Midwife,None,None
190,Love Avenue,Kate,Chapman,49,Head,Married,Female,Colour technologist,None,None
190,Love Avenue,Peter,Chapman,50,Husband,Married,Male,Photographer,None,None
190,Love Avenue,Susan,Chapman,12,Daughter,NA,Female,Student,None,NA
190,Love Avenue,Abbie,Chapman,11,Daughter,NA,Female,Student,None,NA
190,Love Avenue,Guy,Chapman,7,Son,NA,Male,Student,None,NA
191,Love Avenue,Emma,Barber,52,Head,Single,Female,Commercial/residential surveyor,None,None
191,Love Avenue,Irene,Barber,24,Daughter,Single,Female,Quarry manager,None,None
191,Love Avenue,Sara,Barber,24,Daughter,Single,Female,Physiotherapist,None,None
191,Love Avenue,Michael,Jackson-Barber,20,Son,Single,Male,University Student,None,None
191,Love Avenue,Alexandra,Clark,15,Adopted Daughter,NA,Female,Student,None,NA
191,Love Avenue,Elizabeth,Clark,10,Daughter,NA,Female,Student,None,NA
191,Love Avenue,Julian,Clark,6,Son,NA,Male,Student,None,NA
191,Love Avenue,Carl,Clark,2,Son,NA,Male,Child,None,NA
191,Love Avenue,Eric,Clark,2,Son,NA,Male,Child,None,NA
191,Love Avenue,Liam,Banks,23,Lodger,Single,Male,Claims inspector/assessor,None,None
191,Love Avenue,Joseph,Evans,21,Sibling,Single,Male,University Student,None,None
191,Love Avenue,Gemma,Baker,48,Visitor,Single,Female,Health and safety inspector,None,None
191,Love Avenue,Carolyn,Scott,49,Lodger,Single,Female,Unemployed,None,Catholic
191,Love Avenue,Sharon,Fitzgerald,24,Lodger,Single,Female,Personnel officer,None,None
191,Love Avenue,Andrea,Cook,23,Sibling,Single,Female,Herpetologist,None,Muslim
191,Love Avenue,Eric,Thomas,47,Lodger,Single,Male,Operations geologist,None,Methodist
191,Love Avenue,Lorraine,Owen,37,Cousin,Single,Female,Animal nutritionist,None,Christian
191,Love Avenue,Danielle,Williams,60,Lodger,Single,Female,Fine artist,None,Christian
191,Love Avenue,Abigail,Young,36,Lodger,Divorced,Female,Astronomer,None,None
192,Love Avenue,Amy,Patel,50,Head,Married,Female,Training and development officer,None,Catholic
192,Love Avenue,Ronald,Patel,52,Husband,Married,Male,Clinical cytogeneticist,None,None
192,Love Avenue,Martyn,Patel,24,Son,Divorced,Male,Forensic psychologist,None,Catholic
192,Love Avenue,Leah,Patel,20,Daughter,Divorced,Female,University Student,None,Catholic
192,Love Avenue,John,Patel,14,Son,NA,Male,Student,None,NA
193,Love Avenue,Tracy,Griffin,64,Head,Single,Female,"Designer, jewellery",None,None
193,Love Avenue,Raymond,Cooper,66,Partner,Single,Male,Financial risk analyst,None,None
194,Love Avenue,Holly,Duncan,49,Head,Married,Female,"Accountant, chartered management",None,Catholic
194,Love Avenue,Ross,Duncan,50,Husband,Married,Male,"Administrator, charities/voluntary organisations",None,Catholic
194,Love Avenue,Paula,Duncan,21,Daughter,Divorced,Female,University Student,None,Catholic
194,Love Avenue,Hugh,Duncan,21,Son,Single,Male,University Student,None,Catholic
194,Love Avenue,Samuel,Duncan,19,Son,Single,Male,University Student,None,Catholic
194,Love Avenue,Connor,Duncan,14,Son,NA,Male,Student,None,NA
194,Love Avenue,Sophie,Duncan,12,Daughter,NA,Female,Student,None,NA
194,Love Avenue,Nathan,Duncan,10,Son,NA,Male,Student,None,NA
195,Love Avenue,Roger,Price,75,Head,Single,Male,Retired Firefighter,None,Catholic
196,Love Avenue,Judith,Bennett,46,Head,Single,Female,Heritage manager,None,None
197,Love Avenue,Kirsty,Hall,75,Head,Divorced,Female,Retired Advertising copywriter,None,Catholic
197,Love Avenue,Dean,Hall,22,Grandson,Single,Male,University Student,None,Catholic
197,Love Avenue,Kyle,Hall,20,Grandson,Single,Male,University Student,None,Catholic
197,Love Avenue,Joe,Pratt,16,Grandson,NA,Male,Student,None,NA
197,Love Avenue,Kieran,Page,9,Grandson,NA,Male,Student,None,NA
197,Love Avenue,Christian,Richards,5,Grandson,NA,Male,Student,None,NA
197,Love Avenue,Geraldine,Taylor,1,Granddaughter,NA,Female,Child,None,NA
197,Love Avenue,Valerie,Garner,0,Granddaughter,NA,Female,Child,None,NA
197,Love Avenue,Albert,Robinson,52,Lodger,Single,Male,Counselling psychologist,None,Christian
197,Love Avenue,Arthur,Hammond,61,Lodger,Divorced,Male,"Engineer, electrical",None,Christian
198,Love Avenue,Jack,Hudson,60,Head,Divorced,Male,Diagnostic radiographer,None,Muslim
198,Love Avenue,Mathew,Hudson,24,Son,Single,Male,"Sales professional, IT",None,None
198,Love Avenue,Annette,Smith-Hudson,24,Daughter,Single,Female,"Lighting technician, broadcasting/film/video",None,None
198,Love Avenue,Molly,Smith-Hudson,22,Daughter,Single,Female,University Student,None,Muslim
198,Love Avenue,Marcus,Smith-Hudson,21,Son,Single,Male,University Student,None,None
198,Love Avenue,Brett,Smith-Hudson,16,Son,NA,Male,Student,None,NA
199,Love Avenue,Jordan,John,52,Head,Single,Male,"Radiographer, diagnostic",None,Christian
199,Love Avenue,Toby,John,24,Son,Single,Male,"Administrator, arts", ,None
199,Love Avenue,Molly,John,21,Daughter,Single,Female,University Student,None,Christian
199,Love Avenue,Jay,John,18,Son,Divorced,Male,Student,None,Christian
199,Love Avenue,Henry,John,17,Son,NA,Male,Student,None,NA
199,Love Avenue,Teresa,John,17,Daughter,NA,Female,Student,None,NA
199,Love Avenue,Toby,John,11,Son,NA,Male,Student,None,NA
200,Love Avenue,Beth,Yates,53,Head,Single,Female,Homeopath,None,Christian
200,Love Avenue,Max,Yates,24,Son,Divorced,Male,Radio broadcast assistant,Deaf,Christian
200,Love Avenue,Lynn,Yates,22,Daughter,Single,Female,University Student,None,Christian
200,Love Avenue,Catherine,Yates,18,Daughter,Single,Female,Student,None,None
200,Love Avenue,Amanda,Yates,18,Daughter,Single,Female,Student,None,None
200,Love Avenue,Tina,Yates,17,Daughter,NA,Female,Student,None,NA
200,Love Avenue,Peter,Yates,15,Son,NA,Male,Student,None,NA
200,Love Avenue,Amber,Yates,14,Daughter,NA,Female,Student,None,NA
200,Love Avenue,Lucy,Yates,10,Daughter,NA,Female,Student,None,NA
201,Love Avenue,Elizabeth,Green,46,Head,Married,Female,Ophthalmologist,None,None
201,Love Avenue,Peter,Green,49,Husband,Married,Male,Emergency planning/management officer,None,None
201,Love Avenue,Bruce,Jones-Green,20,Son,Single,Male,University Student,None,None
